1,Wii Sports,Wii,2006,Sports
2,Super Mario Bros.,NES,1985,Platform
3,Mario Kart Wii,Wii,2008,Racing
4,Wii Sports Resort,Wii,2009,Sports
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing
6,Tetris,GB,1989,Puzzle
7,New Super Mario Bros.,DS,2006,Platform
8,Wii Play,Wii,2006,Misc
9,New Super Mario Bros. Wii,Wii,2009,Platform
10,Duck Hunt,NES,1984,Shooter
11,Nintendogs,DS,2005,Simulation
12,Mario Kart DS,DS,2005,Racing
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing
14,Wii Fit,Wii,2007,Sports
15,Kinect Adventures!,X360,2010,Misc
16,Wii Fit Plus,Wii,2009,Sports
17,Grand Theft Auto V,PS3,2013,Action
18,Grand Theft Auto: San Andreas,PS2,2004,Action
19,Super Mario World,SNES,1990,Platform
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing
22,Super Mario Land,GB,1989,Platform
23,Super Mario Bros. 3,NES,1988,Platform
24,Grand Theft Auto V,X360,2013,Action
25,Grand Theft Auto: Vice City,PS2,2002,Action
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing
27,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle
28,Pokemon Black/Pokemon White,DS,2010,Role-Playing
29,Gran Turismo 3: A-Spec,PS2,2001,Racing
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter
31,Pokemon Yellow: Special Pikachu Edition,GB,1998,Role-Playing
32,Call of Duty: Black Ops 3,PS4,2015,Shooter
33,Call of Duty: Black Ops,X360,2010,Shooter
34,Pokemon X/Pokemon Y,3DS,2013,Role-Playing
35,Call of Duty: Black Ops II,PS3,2012,Shooter
36,Call of Duty: Black Ops II,X360,2012,Shooter
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter
39,Grand Theft Auto III,PS2,2001,Action
40,Super Smash Bros. Brawl,Wii,2008,Fighting
41,Mario Kart 7,3DS,2011,Racing
42,Call of Duty: Black Ops,PS3,2010,Shooter
43,Grand Theft Auto V,PS4,2014,Action
44,Animal Crossing: Wild World,DS,2005,Simulation
45,Halo 3,X360,2007,Shooter
46,Super Mario 64,N64,1996,Platform
47,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action
48,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing
49,Gran Turismo 4,PS2,2004,Racing
50,Super Mario Galaxy,Wii,2007,Platform
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure
52,Grand Theft Auto IV,X360,2008,Action
53,Gran Turismo,PS,1997,Racing
54,Super Mario 3D Land,3DS,2011,Platform
55,Gran Turismo 5,PS3,2010,Racing
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter
57,Super Mario All-Stars,SNES,1993,Platform
58,Grand Theft Auto IV,PS3,2008,Action
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing
60,Super Mario 64,DS,2004,Platform
61,Call of Duty: Ghosts,X360,2013,Shooter
62,Just Dance 3,Wii,2011,Misc
63,New Super Mario Bros. 2,3DS,2012,Platform
64,Mario Kart 64,N64,1996,Racing
65,Halo: Reach,X360,2010,Shooter
66,Final Fantasy VII,PS,1997,Role-Playing
67,Halo 4,X360,2012,Shooter
68,Gran Turismo 2,PS,1999,Racing
69,Just Dance 2,Wii,2010,Misc
70,Call of Duty: Ghosts,PS3,2013,Shooter
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter
72,Donkey Kong Country,SNES,1994,Platform
73,Minecraft,X360,2013,Misc
74,Animal Crossing: New Leaf,3DS,2012,Simulation
75,Mario Party DS,DS,2007,Misc
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing
77,Super Mario Kart,SNES,1992,Racing
78,FIFA 16,PS4,2015,Sports
79,Halo 2,XB,2004,Shooter
80,Wii Party,Wii,2010,Misc
81,Mario Party 8,Wii,2007,Misc
82,FIFA Soccer 13,PS3,2012,Action
83,GoldenEye 007,N64,1997,Shooter
84,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing
85,Final Fantasy X,PS2,2001,Role-Playing
86,The Sims 3,PC,2009,Simulation
87,Mario & Sonic at the Olympic Games,Wii,2007,Sports
88,Star Wars Battlefront (2015),PS4,2015,Shooter
89,Final Fantasy VIII,PS,1999,Role-Playing
90,Pac-Man,2600,1982,Puzzle
91,Pokemon Platinum Version,DS,2008,Role-Playing
